TXDIFFSWING,TXPRE,TXPOST,RXTERM,Error_Count,Open Area
390 mV (00000),0.73 dB (00011),12.29 dB (11110),800 mV,3738262,0
390 mV (00000),0.73 dB (00011),13.67 dB (11111),800 mV,2359451,0
390 mV (00000),1.30 dB (00110),0.00 dB (00000),800 mV,0,7920
390 mV (00000),1.30 dB (00110),0.74 dB (00011),800 mV,0,7920
390 mV (00000),1.30 dB (00110),1.32 dB (00110),800 mV,0,7884
390 mV (00000),1.30 dB (00110),2.28 dB (01001),800 mV,0,7848
390 mV (00000),1.30 dB (00110),3.14 dB (01100),800 mV,0,7920
390 mV (00000),1.30 dB (00110),3.99 dB (01111),800 mV,0,7812
390 mV (00000),1.30 dB (00110),5.05 dB (10010),800 mV,0,7884
390 mV (00000),1.30 dB (00110),6.69 dB (10101),800 mV,0,7632
390 mV (00000),1.30 dB (00110),7.84 dB (11000),800 mV,0,7668
390 mV (00000),1.30 dB (00110),9.14 dB (11010),800 mV,146,7452
390 mV (00000),1.30 dB (00110),9.14 dB (11010),800 mV,146,0
390 mV (00000),1.30 dB (00110),10.51 dB (11100),800 mV,68214864,0
390 mV (00000),1.30 dB (00110),11.63 dB (11101),800 mV,507390,0
390 mV (00000),1.30 dB (00110),12.29 dB (11110),800 mV,-1,0
390 mV (00000),1.30 dB (00110),13.67 dB (11111),800 mV,-1,0
390 mV (00000),2.24 dB (01001),0.00 dB (00000),800 mV,0,7920
390 mV (00000),2.24 dB (01001),0.74 dB (00011),800 mV,0,7956
390 mV (00000),2.24 dB (01001),1.32 dB (00110),800 mV,0,8064
390 mV (00000),2.24 dB (01001),2.28 dB (01001),800 mV,0,7848
390 mV (00000),2.24 dB (01001),3.14 dB (01100),800 mV,0,7776
390 mV (00000),2.24 dB (01001),3.99 dB (01111),800 mV,0,7740
390 mV (00000),2.24 dB (01001),5.05 dB (10010),800 mV,0,7704
390 mV (00000),2.24 dB (01001),6.69 dB (10101),800 mV,0,7776
390 mV (00000),2.24 dB (01001),7.84 dB (11000),800 mV,244570,0
390 mV (00000),2.24 dB (01001),9.14 dB (11010),800 mV,-1,0
390 mV (00000),2.24 dB (01001),10.51 dB (11100),800 mV,-1,0
390 mV (00000),2.24 dB (01001),11.63 dB (11101),800 mV,-1,0
390 mV (00000),2.24 dB (01001),12.29 dB (11110),800 mV,-1,0
390 mV (00000),2.24 dB (01001),13.67 dB (11111),800 mV,-1,0
390 mV (00000),3.08 dB (01100),0.00 dB (00000),800 mV,0,7776
390 mV (00000),3.08 dB (01100),0.74 dB (00011),800 mV,0,7848
390 mV (00000),3.08 dB (01100),1.32 dB (00110),800 mV,0,7848
390 mV (00000),3.08 dB (01100),2.28 dB (01001),800 mV,0,7740
390 mV (00000),3.08 dB (01100),3.14 dB (01100),800 mV,0,7740
390 mV (00000),3.08 dB (01100),3.99 dB (01111),800 mV,0,7668
390 mV (00000),3.08 dB (01100),5.05 dB (10010),800 mV,0,7704
390 mV (00000),3.08 dB (01100),6.69 dB (10101),800 mV,8026,0
390 mV (00000),3.08 dB (01100),7.84 dB (11000),800 mV,1284178,0
390 mV (00000),3.08 dB (01100),9.14 dB (11010),800 mV,-1,0
390 mV (00000),3.08 dB (01100),10.51 dB (11100),800 mV,-1,0
390 mV (00000),3.08 dB (01100),11.63 dB (11101),800 mV,-1,0
390 mV (00000),3.08 dB (01100),12.29 dB (11110),800 mV,-1,0
390 mV (00000),3.08 dB (01100),13.67 dB (11111),800 mV,-1,0
390 mV (00000),3.90 dB (01111),0.00 dB (00000),800 mV,0,7776
390 mV (00000),3.90 dB (01111),0.74 dB (00011),800 mV,0,7704
390 mV (00000),3.90 dB (01111),1.32 dB (00110),800 mV,0,7884
390 mV (00000),3.90 dB (01111),2.28 dB (01001),800 mV,0,7704
390 mV (00000),3.90 dB (01111),3.14 dB (01100),800 mV,0,7776
390 mV (00000),3.90 dB (01111),3.99 dB (01111),800 mV,0,7668
390 mV (00000),3.90 dB (01111),5.05 dB (10010),800 mV,72462,0
390 mV (00000),3.90 dB (01111),6.69 dB (10101),800 mV,658562,0
390 mV (00000),3.90 dB (01111),7.84 dB (11000),800 mV,-1,0
390 mV (00000),3.90 dB (01111),9.14 dB (11010),800 mV,-1,0
390 mV (00000),3.90 dB (01111),10.51 dB (11100),800 mV,-1,0
390 mV (00000),3.90 dB (01111),11.63 dB (11101),800 mV,-1,0
390 mV (00000),3.90 dB (01111),12.29 dB (11110),800 mV,-1,0
390 mV (00000),3.90 dB (01111),13.67 dB (11111),800 mV,-1,0
390 mV (00000),4.66 dB (10001),0.00 dB (00000),800 mV,0,7920
390 mV (00000),4.66 dB (10001),0.74 dB (00011),800 mV,0,7668
390 mV (00000),4.66 dB (10001),1.32 dB (00110),800 mV,0,7812
390 mV (00000),4.66 dB (10001),2.28 dB (01001),800 mV,0,7920
390 mV (00000),4.66 dB (10001),3.14 dB (01100),800 mV,0,7668
390 mV (00000),4.66 dB (10001),3.99 dB (01111),800 mV,0,7704
390 mV (00000),4.66 dB (10001),5.05 dB (10010),800 mV,49174,0
390 mV (00000),4.66 dB (10001),6.69 dB (10101),800 mV,-1,0
390 mV (00000),4.66 dB (10001),7.84 dB (11000),800 mV,-1,0
390 mV (00000),4.66 dB (10001),9.14 dB (11010),800 mV,-1,0
390 mV (00000),4.66 dB (10001),10.51 dB (11100),800 mV,-1,0
390 mV (00000),4.66 dB (10001),11.63 dB (11101),800 mV,-1,0
390 mV (00000),4.66 dB (10001),12.29 dB (11110),800 mV,-1,0
390 mV (00000),4.66 dB (10001),13.67 dB (11111),800 mV,-1,0
390 mV (00000),5.67 dB (10100),0.00 dB (00000),800 mV,0,7812
390 mV (00000),5.67 dB (10100),0.74 dB (00011),800 mV,0,7920
390 mV (00000),5.67 dB (10100),1.32 dB (00110),800 mV,0,7704
390 mV (00000),5.67 dB (10100),2.28 dB (01001),800 mV,0,7920
390 mV (00000),5.67 dB (10100),3.14 dB (01100),800 mV,0,7632
390 mV (00000),5.67 dB (10100),3.99 dB (01111),800 mV,308487,0
390 mV (00000),5.67 dB (10100),5.05 dB (10010),800 mV,-1,0
390 mV (00000),5.67 dB (10100),6.69 dB (10101),800 mV,-1,0
390 mV (00000),5.67 dB (10100),7.84 dB (11000),800 mV,-1,0
390 mV (00000),5.67 dB (10100),9.14 dB (11010),800 mV,-1,0
390 mV (00000),5.67 dB (10100),10.51 dB (11100),800 mV,-1,0
390 mV (00000),5.67 dB (10100),11.63 dB (11101),800 mV,-1,0
390 mV (00000),5.67 dB (10100),12.29 dB (11110),800 mV,-1,0
390 mV (00000),5.67 dB (10100),13.67 dB (11111),800 mV,-1,0
470 mV (00011),0.01 dB (00000),0.00 dB (00000),800 mV,0,7884
470 mV (00011),0.01 dB (00000),0.74 dB (00011),800 mV,0,8064
470 mV (00011),0.01 dB (00000),1.32 dB (00110),800 mV,0,7956
470 mV (00011),0.01 dB (00000),2.28 dB (01001),800 mV,0,7920
470 mV (00011),0.01 dB (00000),3.14 dB (01100),800 mV,0,7848
470 mV (00011),0.01 dB (00000),3.99 dB (01111),800 mV,0,7920
470 mV (00011),0.01 dB (00000),5.05 dB (10010),800 mV,0,7740
470 mV (00011),0.01 dB (00000),6.69 dB (10101),800 mV,0,7776
470 mV (00011),0.01 dB (00000),7.84 dB (11000),800 mV,0,7488
470 mV (00011),0.01 dB (00000),9.14 dB (11010),800 mV,0,7632
470 mV (00011),0.01 dB (00000),10.51 dB (11100),800 mV,407,5796
470 mV (00011),0.01 dB (00000),10.51 dB (11100),800 mV,407,0
470 mV (00011),0.01 dB (00000),11.63 dB (11101),800 mV,19734,0
470 mV (00011),0.01 dB (00000),12.29 dB (11110),800 mV,31389,0
470 mV (00011),0.01 dB (00000),13.67 dB (11111),800 mV,1163406,0
470 mV (00011),0.73 dB (00011),0.00 dB (00000),800 mV,0,7956
470 mV (00011),0.73 dB (00011),0.74 dB (00011),800 mV,0,8100
470 mV (00011),0.73 dB (00011),1.32 dB (00110),800 mV,0,7884
470 mV (00011),0.73 dB (00011),2.28 dB (01001),800 mV,0,7812
470 mV (00011),0.73 dB (00011),3.14 dB (01100),800 mV,0,7812
470 mV (00011),0.73 dB (00011),3.99 dB (01111),800 mV,0,7812
470 mV (00011),0.73 dB (00011),5.05 dB (10010),800 mV,0,7740
470 mV (00011),0.73 dB (00011),6.69 dB (10101),800 mV,0,7704
470 mV (00011),0.73 dB (00011),7.84 dB (11000),800 mV,0,7776
470 mV (00011),0.73 dB (00011),9.14 dB (11010),800 mV,21,7668
470 mV (00011),0.73 dB (00011),9.14 dB (11010),800 mV,21,0
470 mV (00011),0.73 dB (00011),10.51 dB (11100),800 mV,3519,1440
470 mV (00011),0.73 dB (00011),10.51 dB (11100),800 mV,3519,0
470 mV (00011),0.73 dB (00011),11.63 dB (11101),800 mV,11605368,0
470 mV (00011),0.73 dB (00011),12.29 dB (11110),800 mV,1096324,0
470 mV (00011),0.73 dB (00011),13.67 dB (11111),800 mV,-1,0
470 mV (00011),1.30 dB (00110),0.00 dB (00000),800 mV,0,7812
470 mV (00011),1.30 dB (00110),0.74 dB (00011),800 mV,0,7848
470 mV (00011),1.30 dB (00110),1.32 dB (00110),800 mV,0,8028
470 mV (00011),1.30 dB (00110),2.28 dB (01001),800 mV,0,7920
470 mV (00011),1.30 dB (00110),3.14 dB (01100),800 mV,0,7812
470 mV (00011),1.30 dB (00110),3.99 dB (01111),800 mV,0,7740
470 mV (00011),1.30 dB (00110),5.05 dB (10010),800 mV,0,7776
470 mV (00011),1.30 dB (00110),6.69 dB (10101),800 mV,0,7884
470 mV (00011),1.30 dB (00110),7.84 dB (11000),800 mV,0,7704
470 mV (00011),1.30 dB (00110),9.14 dB (11010),800 mV,523,7200
470 mV (00011),1.30 dB (00110),9.14 dB (11010),800 mV,523,0
470 mV (00011),1.30 dB (00110),10.51 dB (11100),800 mV,370327,0
470 mV (00011),1.30 dB (00110),11.63 dB (11101),800 mV,2808849,0
470 mV (00011),1.30 dB (00110),12.29 dB (11110),800 mV,-1,0
470 mV (00011),1.30 dB (00110),13.67 dB (11111),800 mV,-1,0
470 mV (00011),2.24 dB (01001),0.00 dB (00000),800 mV,0,7884
470 mV (00011),2.24 dB (01001),0.74 dB (00011),800 mV,0,7992
470 mV (00011),2.24 dB (01001),1.32 dB (00110),800 mV,0,7704
470 mV (00011),2.24 dB (01001),2.28 dB (01001),800 mV,0,7920
470 mV (00011),2.24 dB (01001),3.14 dB (01100),800 mV,0,7884
470 mV (00011),2.24 dB (01001),3.99 dB (01111),800 mV,0,7956
470 mV (00011),2.24 dB (01001),5.05 dB (10010),800 mV,0,7704
470 mV (00011),2.24 dB (01001),6.69 dB (10101),800 mV,0,7884
470 mV (00011),2.24 dB (01001),7.84 dB (11000),800 mV,246771,0
470 mV (00011),2.24 dB (01001),9.14 dB (11010),800 mV,1189629,0
470 mV (00011),2.24 dB (01001),10.51 dB (11100),800 mV,-1,0
470 mV (00011),2.24 dB (01001),11.63 dB (11101),800 mV,-1,0
470 mV (00011),2.24 dB (01001),12.29 dB (11110),800 mV,-1,0
470 mV (00011),2.24 dB (01001),13.67 dB (11111),800 mV,-1,0
470 mV (00011),3.08 dB (01100),0.00 dB (00000),800 mV,0,7812
470 mV (00011),3.08 dB (01100),0.74 dB (00011),800 mV,0,7812
470 mV (00011),3.08 dB (01100),1.32 dB (00110),800 mV,0,7704
470 mV (00011),3.08 dB (01100),2.28 dB (01001),800 mV,0,7740
470 mV (00011),3.08 dB (01100),3.14 dB (01100),800 mV,0,7704
470 mV (00011),3.08 dB (01100),3.99 dB (01111),800 mV,0,7812
470 mV (00011),3.08 dB (01100),5.05 dB (10010),800 mV,0,7776
470 mV (00011),3.08 dB (01100),6.69 dB (10101),800 mV,13422,0
470 mV (00011),3.08 dB (01100),7.84 dB (11000),800 mV,113690135,0
470 mV (00011),3.08 dB (01100),9.14 dB (11010),800 mV,-1,0
470 mV (00011),3.08 dB (01100),10.51 dB (11100),800 mV,-1,0
470 mV (00011),3.08 dB (01100),11.63 dB (11101),800 mV,-1,0
470 mV (00011),3.08 dB (01100),12.29 dB (11110),800 mV,-1,0
470 mV (00011),3.08 dB (01100),13.67 dB (11111),800 mV,-1,0
470 mV (00011),3.90 dB (01111),0.00 dB (00000),800 mV,0,7776
470 mV (00011),3.90 dB (01111),0.74 dB (00011),800 mV,0,7848
470 mV (00011),3.90 dB (01111),1.32 dB (00110),800 mV,0,7776
470 mV (00011),3.90 dB (01111),2.28 dB (01001),800 mV,0,7560
470 mV (00011),3.90 dB (01111),3.14 dB (01100),800 mV,0,7848
470 mV (00011),3.90 dB (01111),3.99 dB (01111),800 mV,0,7812
470 mV (00011),3.90 dB (01111),5.05 dB (10010),800 mV,85359,0
470 mV (00011),3.90 dB (01111),6.69 dB (10101),800 mV,416594,0
470 mV (00011),3.90 dB (01111),7.84 dB (11000),800 mV,-1,0
470 mV (00011),3.90 dB (01111),9.14 dB (11010),800 mV,-1,0
470 mV (00011),3.90 dB (01111),10.51 dB (11100),800 mV,-1,0
470 mV (00011),3.90 dB (01111),11.63 dB (11101),800 mV,-1,0
470 mV (00011),3.90 dB (01111),12.29 dB (11110),800 mV,-1,0
470 mV (00011),3.90 dB (01111),13.67 dB (11111),800 mV,-1,0
470 mV (00011),4.66 dB (10001),0.00 dB (00000),800 mV,0,7812
470 mV (00011),4.66 dB (10001),0.74 dB (00011),800 mV,0,7740
470 mV (00011),4.66 dB (10001),1.32 dB (00110),800 mV,0,7740
470 mV (00011),4.66 dB (10001),2.28 dB (01001),800 mV,0,7740
470 mV (00011),4.66 dB (10001),3.14 dB (01100),800 mV,0,7668
470 mV (00011),4.66 dB (10001),3.99 dB (01111),800 mV,0,7668
470 mV (00011),4.66 dB (10001),5.05 dB (10010),800 mV,406917,0
470 mV (00011),4.66 dB (10001),6.69 dB (10101),800 mV,-1,0
470 mV (00011),4.66 dB (10001),7.84 dB (11000),800 mV,-1,0
470 mV (00011),4.66 dB (10001),9.14 dB (11010),800 mV,-1,0
470 mV (00011),4.66 dB (10001),10.51 dB (11100),800 mV,-1,0
470 mV (00011),4.66 dB (10001),11.63 dB (11101),800 mV,-1,0
470 mV (00011),4.66 dB (10001),12.29 dB (11110),800 mV,-1,0
470 mV (00011),4.66 dB (10001),13.67 dB (11111),800 mV,-1,0
470 mV (00011),5.67 dB (10100),0.00 dB (00000),800 mV,0,7740
470 mV (00011),5.67 dB (10100),0.74 dB (00011),800 mV,0,7560
470 mV (00011),5.67 dB (10100),1.32 dB (00110),800 mV,0,7740
470 mV (00011),5.67 dB (10100),2.28 dB (01001),800 mV,0,7524
470 mV (00011),5.67 dB (10100),3.14 dB (01100),800 mV,0,7776
470 mV (00011),5.67 dB (10100),3.99 dB (01111),800 mV,33802617,0
470 mV (00011),5.67 dB (10100),5.05 dB (10010),800 mV,-1,0
470 mV (00011),5.67 dB (10100),6.69 dB (10101),800 mV,-1,0
470 mV (00011),5.67 dB (10100),7.84 dB (11000),800 mV,-1,0
470 mV (00011),5.67 dB (10100),9.14 dB (11010),800 mV,-1,0
470 mV (00011),5.67 dB (10100),10.51 dB (11100),800 mV,-1,0
470 mV (00011),5.67 dB (10100),11.63 dB (11101),800 mV,-1,0
470 mV (00011),5.67 dB (10100),12.29 dB (11110),800 mV,-1,0
470 mV (00011),5.67 dB (10100),13.67 dB (11111),800 mV,-1,0
550 mV (00110),0.01 dB (00000),0.00 dB (00000),800 mV,0,7920
550 mV (00110),0.01 dB (00000),0.74 dB (00011),800 mV,0,7992
550 mV (00110),0.01 dB (00000),1.32 dB (00110),800 mV,0,7956
550 mV (00110),0.01 dB (00000),2.28 dB (01001),800 mV,0,7956
550 mV (00110),0.01 dB (00000),3.14 dB (01100),800 mV,0,7848
550 mV (00110),0.01 dB (00000),3.99 dB (01111),800 mV,0,7992
550 mV (00110),0.01 dB (00000),5.05 dB (10010),800 mV,0,7740
550 mV (00110),0.01 dB (00000),6.69 dB (10101),800 mV,0,7632
550 mV (00110),0.01 dB (00000),7.84 dB (11000),800 mV,0,7524
550 mV (00110),0.01 dB (00000),9.14 dB (11010),800 mV,0,7452
550 mV (00110),0.01 dB (00000),10.51 dB (11100),800 mV,120,7128
550 mV (00110),0.01 dB (00000),10.51 dB (11100),800 mV,120,0
550 mV (00110),0.01 dB (00000),11.63 dB (11101),800 mV,60329,0
550 mV (00110),0.01 dB (00000),12.29 dB (11110),800 mV,47660,0
550 mV (00110),0.01 dB (00000),13.67 dB (11111),800 mV,22296840,0
550 mV (00110),0.73 dB (00011),0.00 dB (00000),800 mV,0,8028
550 mV (00110),0.73 dB (00011),0.74 dB (00011),800 mV,0,7884
550 mV (00110),0.73 dB (00011),1.32 dB (00110),800 mV,0,7704
550 mV (00110),0.73 dB (00011),2.28 dB (01001),800 mV,0,7884
550 mV (00110),0.73 dB (00011),3.14 dB (01100),800 mV,0,7812
550 mV (00110),0.73 dB (00011),3.99 dB (01111),800 mV,0,7812
550 mV (00110),0.73 dB (00011),5.05 dB (10010),800 mV,0,7704
550 mV (00110),0.73 dB (00011),6.69 dB (10101),800 mV,0,7632
550 mV (00110),0.73 dB (00011),7.84 dB (11000),800 mV,0,7560
550 mV (00110),0.73 dB (00011),9.14 dB (11010),800 mV,3,7452
550 mV (00110),0.73 dB (00011),9.14 dB (11010),800 mV,3,0
550 mV (00110),0.73 dB (00011),10.51 dB (11100),800 mV,40632,0
550 mV (00110),0.73 dB (00011),11.63 dB (11101),800 mV,179832,0
550 mV (00110),0.73 dB (00011),12.29 dB (11110),800 mV,44942040,0
550 mV (00110),0.73 dB (00011),13.67 dB (11111),800 mV,1104166,0
550 mV (00110),1.30 dB (00110),0.00 dB (00000),800 mV,0,7956
550 mV (00110),1.30 dB (00110),0.74 dB (00011),800 mV,0,7812
550 mV (00110),1.30 dB (00110),1.32 dB (00110),800 mV,0,7956
550 mV (00110),1.30 dB (00110),2.28 dB (01001),800 mV,0,7884
550 mV (00110),1.30 dB (00110),3.14 dB (01100),800 mV,0,7740
550 mV (00110),1.30 dB (00110),3.99 dB (01111),800 mV,0,7848
550 mV (00110),1.30 dB (00110),5.05 dB (10010),800 mV,0,7668
550 mV (00110),1.30 dB (00110),6.69 dB (10101),800 mV,0,7596
550 mV (00110),1.30 dB (00110),7.84 dB (11000),800 mV,0,7704
550 mV (00110),1.30 dB (00110),9.14 dB (11010),800 mV,7453,0
550 mV (00110),1.30 dB (00110),10.51 dB (11100),800 mV,11298181,0
550 mV (00110),1.30 dB (00110),11.63 dB (11101),800 mV,456735791,0
550 mV (00110),1.30 dB (00110),12.29 dB (11110),800 mV,206657588,0
550 mV (00110),1.30 dB (00110),13.67 dB (11111),800 mV,-1,0
550 mV (00110),2.24 dB (01001),0.00 dB (00000),800 mV,0,7812
550 mV (00110),2.24 dB (01001),0.74 dB (00011),800 mV,0,7704
550 mV (00110),2.24 dB (01001),1.32 dB (00110),800 mV,0,7704
550 mV (00110),2.24 dB (01001),2.28 dB (01001),800 mV,0,7740
550 mV (00110),2.24 dB (01001),3.14 dB (01100),800 mV,0,8064
550 mV (00110),2.24 dB (01001),3.99 dB (01111),800 mV,0,7776
550 mV (00110),2.24 dB (01001),5.05 dB (10010),800 mV,0,7668
550 mV (00110),2.24 dB (01001),6.69 dB (10101),800 mV,0,7596
550 mV (00110),2.24 dB (01001),7.84 dB (11000),800 mV,672,6984
550 mV (00110),2.24 dB (01001),7.84 dB (11000),800 mV,672,0
550 mV (00110),2.24 dB (01001),9.14 dB (11010),800 mV,1876753,0
550 mV (00110),2.24 dB (01001),10.51 dB (11100),800 mV,-1,0
550 mV (00110),2.24 dB (01001),11.63 dB (11101),800 mV,-1,0
550 mV (00110),2.24 dB (01001),12.29 dB (11110),800 mV,-1,0
550 mV (00110),2.24 dB (01001),13.67 dB (11111),800 mV,-1,0
550 mV (00110),3.08 dB (01100),0.00 dB (00000),800 mV,0,7848
550 mV (00110),3.08 dB (01100),0.74 dB (00011),800 mV,0,7956
550 mV (00110),3.08 dB (01100),1.32 dB (00110),800 mV,0,7848
550 mV (00110),3.08 dB (01100),2.28 dB (01001),800 mV,0,7812
550 mV (00110),3.08 dB (01100),3.14 dB (01100),800 mV,0,7776
550 mV (00110),3.08 dB (01100),3.99 dB (01111),800 mV,0,7776
550 mV (00110),3.08 dB (01100),5.05 dB (10010),800 mV,0,7740
550 mV (00110),3.08 dB (01100),6.69 dB (10101),800 mV,20364,0
550 mV (00110),3.08 dB (01100),7.84 dB (11000),800 mV,112747493,0
550 mV (00110),3.08 dB (01100),9.14 dB (11010),800 mV,-1,0
550 mV (00110),3.08 dB (01100),10.51 dB (11100),800 mV,-1,0
550 mV (00110),3.08 dB (01100),11.63 dB (11101),800 mV,-1,0
550 mV (00110),3.08 dB (01100),12.29 dB (11110),800 mV,-1,0
550 mV (00110),3.08 dB (01100),13.67 dB (11111),800 mV,-1,0
550 mV (00110),3.90 dB (01111),0.00 dB (00000),800 mV,0,7848
550 mV (00110),3.90 dB (01111),0.74 dB (00011),800 mV,0,7740
550 mV (00110),3.90 dB (01111),1.32 dB (00110),800 mV,0,7812
550 mV (00110),3.90 dB (01111),2.28 dB (01001),800 mV,0,7704
550 mV (00110),3.90 dB (01111),3.14 dB (01100),800 mV,0,7812
550 mV (00110),3.90 dB (01111),3.99 dB (01111),800 mV,0,7668
550 mV (00110),3.90 dB (01111),5.05 dB (10010),800 mV,36,7632
550 mV (00110),3.90 dB (01111),5.05 dB (10010),800 mV,36,0
550 mV (00110),3.90 dB (01111),6.69 dB (10101),800 mV,572444,0
550 mV (00110),3.90 dB (01111),7.84 dB (11000),800 mV,-1,0
550 mV (00110),3.90 dB (01111),9.14 dB (11010),800 mV,-1,0
550 mV (00110),3.90 dB (01111),10.51 dB (11100),800 mV,-1,0
550 mV (00110),3.90 dB (01111),11.63 dB (11101),800 mV,-1,0
550 mV (00110),3.90 dB (01111),12.29 dB (11110),800 mV,-1,0
550 mV (00110),3.90 dB (01111),13.67 dB (11111),800 mV,-1,0
550 mV (00110),4.66 dB (10001),0.00 dB (00000),800 mV,0,7776
550 mV (00110),4.66 dB (10001),0.74 dB (00011),800 mV,0,7776
550 mV (00110),4.66 dB (10001),1.32 dB (00110),800 mV,0,7632
550 mV (00110),4.66 dB (10001),2.28 dB (01001),800 mV,0,7632
550 mV (00110),4.66 dB (10001),3.14 dB (01100),800 mV,0,7920
550 mV (00110),4.66 dB (10001),3.99 dB (01111),800 mV,2,7668
550 mV (00110),4.66 dB (10001),3.99 dB (01111),800 mV,2,0
550 mV (00110),4.66 dB (10001),5.05 dB (10010),800 mV,220764,0
550 mV (00110),4.66 dB (10001),6.69 dB (10101),800 mV,-1,0
550 mV (00110),4.66 dB (10001),7.84 dB (11000),800 mV,-1,0
550 mV (00110),4.66 dB (10001),9.14 dB (11010),800 mV,-1,0
550 mV (00110),4.66 dB (10001),10.51 dB (11100),800 mV,-1,0
550 mV (00110),4.66 dB (10001),11.63 dB (11101),800 mV,-1,0
550 mV (00110),4.66 dB (10001),12.29 dB (11110),800 mV,-1,0
550 mV (00110),4.66 dB (10001),13.67 dB (11111),800 mV,-1,0
550 mV (00110),5.67 dB (10100),0.00 dB (00000),800 mV,0,7812
550 mV (00110),5.67 dB (10100),0.74 dB (00011),800 mV,0,7812
550 mV (00110),5.67 dB (10100),1.32 dB (00110),800 mV,0,7596
550 mV (00110),5.67 dB (10100),2.28 dB (01001),800 mV,0,7776
550 mV (00110),5.67 dB (10100),3.14 dB (01100),800 mV,0,7812
550 mV (00110),5.67 dB (10100),3.99 dB (01111),800 mV,185411,0
550 mV (00110),5.67 dB (10100),5.05 dB (10010),800 mV,-1,0
550 mV (00110),5.67 dB (10100),6.69 dB (10101),800 mV,-1,0
550 mV (00110),5.67 dB (10100),7.84 dB (11000),800 mV,-1,0
550 mV (00110),5.67 dB (10100),9.14 dB (11010),800 mV,-1,0
550 mV (00110),5.67 dB (10100),10.51 dB (11100),800 mV,-1,0
550 mV (00110),5.67 dB (10100),11.63 dB (11101),800 mV,-1,0
550 mV (00110),5.67 dB (10100),12.29 dB (11110),800 mV,-1,0
550 mV (00110),5.67 dB (10100),13.67 dB (11111),800 mV,-1,0
630 mV (01001),0.01 dB (00000),0.00 dB (00000),800 mV,0,8100
630 mV (01001),0.01 dB (00000),0.74 dB (00011),800 mV,0,8028
630 mV (01001),0.01 dB (00000),1.32 dB (00110),800 mV,0,7884
630 mV (01001),0.01 dB (00000),2.28 dB (01001),800 mV,0,7812
630 mV (01001),0.01 dB (00000),3.14 dB (01100),800 mV,0,7704
630 mV (01001),0.01 dB (00000),3.99 dB (01111),800 mV,0,7704
630 mV (01001),0.01 dB (00000),5.05 dB (10010),800 mV,0,7632
630 mV (01001),0.01 dB (00000),6.69 dB (10101),800 mV,0,7488
630 mV (01001),0.01 dB (00000),7.84 dB (11000),800 mV,0,7596
630 mV (01001),0.01 dB (00000),9.14 dB (11010),800 mV,0,7596
630 mV (01001),0.01 dB (00000),10.51 dB (11100),800 mV,1633,4104
630 mV (01001),0.01 dB (00000),10.51 dB (11100),800 mV,1633,0
630 mV (01001),0.01 dB (00000),11.63 dB (11101),800 mV,18376,0
630 mV (01001),0.01 dB (00000),12.29 dB (11110),800 mV,99628,0
630 mV (01001),0.01 dB (00000),13.67 dB (11111),800 mV,328878,0
630 mV (01001),0.73 dB (00011),0.00 dB (00000),800 mV,0,8064
630 mV (01001),0.73 dB (00011),0.74 dB (00011),800 mV,0,7848
